ensembl_id,gene_symbol,entrez_id,log2FoldChange,pvalue,padj,sig
ENSG00000121797,CCRL2,9034,1.879528898,1.76e-12,5.32e-11,Up
ENSG00000172175,MALT1,10892,1.092850086,1.77e-12,5.32e-11,Up
ENSG00000165071,TMEM71,137835,1.626510363,1.8e-12,5.4e-11,Up
ENSG00000141384,TAF4B,6875,1.20572369,1.82e-12,5.46e-11,Up
ENSG00000141682,PMAIP1,5366,2.316299217,1.89e-12,5.67e-11,Up
ENSG00000113249,HAVCR1,26762,4.377279522,1.99e-12,5.95e-11,Up
ENSG00000168995,SIGLEC7,27036,3.061300427,2e-12,5.97e-11,Up
ENSG00000240498,CDKN2B-AS1,100048912,2.620863461,2.02e-12,6.02e-11,Up
ENSG00000029153,ARNTL2,56938,2.471120566,2.04e-12,6.08e-11,Up
ENSG00000153976,HS3ST3A1,9955,2.653572591,2.05e-12,6.11e-11,Up
ENSG00000100297,MCM5,4174,1.340864128,2.06e-12,6.13e-11,Up
ENSG00000127311,HELB,92797,1.105134223,2.09e-12,6.2e-11,Up
ENSG00000149091,DGKZ,8525,1.110440333,2.1e-12,6.24e-11,Up
ENSG00000259772,LOC283710,283710,3.012998314,2.11e-12,6.24e-11,Up
ENSG00000086300,SNX10,29887,2.559776301,2.14e-12,6.31e-11,Up
ENSG00000144645,OSBPL10,114884,1.459301706,2.14e-12,6.31e-11,Up
ENSG00000137571,SLCO5A1,81796,4.472493039,2.17e-12,6.38e-11,Up
ENSG00000121895,TMEM156,80008,4.573638685,2.19e-12,6.42e-11,Up
ENSG00000246582,LOC389641,389641,2.103838058,2.25e-12,6.58e-11,Up
ENSG00000026559,KCNG1,3755,3.668082144,2.25e-12,6.59e-11,Up
ENSG00000197299,BLM,641,2.840993677,2.32e-12,6.77e-11,Up
ENSG00000144815,NXPE3,91775,1.048862857,2.32e-12,6.78e-11,Up
ENSG00000132464,ENAM,10117,3.606518105,2.33e-12,6.79e-11,Up
